ttnumber,Action,Adventure,Animation,Comedy,Crime,Horror,Documentary,Biography,Drama,Romance,Sci-Fi,Thriller,Family,Fantasy,History,Mystery,Sport,Music,gross
tt0484562,0.0,20651610.0376,0.0,0.0,0.0,0.0,0.0,0.0,21809506.0657,0.0,0.0,0.0,24413597.6691,0.0,0.0,0.0,0.0,0.0,11066344.0
tt0301199,0.0,0.0,0.0,0.0,13072822.7872,0.0,0.0,0.0,17697075.7671,0.0,0.0,14847012.0324,0.0,0.0,0.0,0.0,0.0,0.0,12090254.0
tt0296166,0.0,0.0,0.0,13820101.47,0.0,0.0,0.0,0.0,13213788.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8712062.0
tt1600196,0.0,0.0,0.0,0.0,19260311.8289,0.0,0.0,0.0,21578292.5444,0.0,0.0,0.0,0.0,0.0,0.0,20567263.895,0.0,0.0,8078234.0
tt0381681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13626381.2414,16196734.4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13411775.0
tt0414993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31733971.9418,0.0,11357897.1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68974383.0
tt0443536,63527455.7106,0.0,75988133.635,73180898.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13236279.0
tt0472160,0.0,0.0,0.0,23921616.6486,0.0,0.0,0.0,0.0,0.0,25639447.5508,0.0,0.0,0.0,19817858.9903,0.0,0.0,0.0,0.0,92415443.0
tt0209475,0.0,0.0,0.0,70871706.3397,0.0,0.0,0.0,0.0,0.0,69029348.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37595513.0
tt0308644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22580840.4361,26393976.3067,0.0,0.0,0.0,32621009.6452,0.0,0.0,0.0,0.0,0.0,72064316.0
tt0427229,0.0,0.0,0.0,110045925.328,0.0,0.0,0.0,0.0,0.0,104230518.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117293673.0
tt0282687,0.0,0.0,0.0,36669158.4949,0.0,0.0,0.0,0.0,0.0,39395653.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21536106.0
tt0335245,0.0,0.0,0.0,69760254.9006,60540245.2948,0.0,0.0,0.0,0.0,0.0,0.0,59634812.2888,0.0,0.0,0.0,0.0,0.0,0.0,34493482.0
tt1837703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8035811.50148,14031168.4332,0.0,0.0,11391323.9223,0.0,0.0,0.0,0.0,0.0,0.0,3466313.0
tt0180052,28366331.0036,0.0,0.0,43821203.1843,0.0,0.0,0.0,0.0,0.0,0.0,12592771.7859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6588277.0
tt1075747,15526832.5784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25394201.6891,0.0,0.0,0.0,0.0,19466547.331,0.0,0.0,0.0,0.0,28605752.0
tt0462538,0.0,264956774.673,310608276.461,311824773.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42450571.0
tt1600195,28654638.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31852241.0176,0.0,0.0,0.0,30764063.1983,0.0,0.0,42083860.0
tt1126618,0.0,0.0,0.0,35876960.3272,0.0,0.0,0.0,0.0,35697143.9165,37749028.1677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103418990.0
tt0368891,155003784.488,166118948.616,0.0,184640730.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10720216.0
tt0275491,0.0,0.0,0.0,0.0,11453521.086,0.0,0.0,0.0,14517889.3199,0.0,0.0,0.0,0.0,0.0,0.0,13066769.5876,0.0,0.0,16102024.0
tt0208874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34992683.0997,0.0,0.0,31889235.3486,0.0,0.0,0.0,0.0,0.0,0.0,6568847.0
tt0120804,77422849.1338,0.0,0.0,0.0,0.0,71639738.572,0.0,0.0,0.0,0.0,72655817.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38390985.0
tt0464154,0.0,0.0,0.0,34835929.9334,0.0,26863976.9717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24913450.0
tt1517489,28045987.2705,32990409.0881,0.0,34011463.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111190510.0
tt0442933,120616103.272,140176212.777,163361774.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133726525.0
tt0265459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19745313.8914,0.0,0.0,16012654.7188,0.0,0.0,0.0,0.0,0.0,0.0,78638891.0
tt1509767,29678827.7388,42143047.5498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43635986.5239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348395648.0
tt0482463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16170873.1877,19122722.5302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9737087.0
tt0247586,0.0,0.0,0.0,0.0,10016190.5163,0.0,0.0,0.0,12213853.6552,0.0,0.0,11805955.378,0.0,0.0,0.0,0.0,0.0,0.0,239906510.0
tt1045655,0.0,0.0,0.0,0.0,0.0,8931021.60606,0.0,0.0,9193788.69985,0.0,0.0,12814425.3588,0.0,0.0,0.0,0.0,0.0,0.0,43404322.0
tt0347149,0.0,34461781.5521,41572716.5639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35852634.2882,0.0,0.0,0.0,0.0,0.0,138878663.0
tt1142977,0.0,0.0,40613622.6008,38971225.3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48213259.17,0.0,0.0,0.0,0.0,0.0,12505690.0
tt0947798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20916435.9315,0.0,0.0,17263019.6924,0.0,0.0,0.0,0.0,0.0,0.0,31417682.0
tt0419946,23721952.3065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26361159.4942,0.0,0.0,26101774.3375,0.0,0.0,0.0,0.0,0.0,0.0,3249756.0
tt0368578,0.0,76508902.2786,0.0,83250672.2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89684133.1085,0.0,0.0,0.0,0.0,0.0,107873286.0
tt1204342,0.0,89539660.6095,0.0,101160474.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105653932.418,0.0,0.0,0.0,0.0,0.0,67434825.0
tt0815236,0.0,0.0,0.0,28334931.7559,0.0,0.0,0.0,0.0,0.0,29963999.5077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117572122.0
tt0399201,65369098.5952,86509692.3592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91499046.6283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627450.0
tt0315327,0.0,0.0,0.0,421059303.164,0.0,0.0,0.0,0.0,357118901.401,0.0,0.0,0.0,0.0,350635778.974,0.0,0.0,0.0,0.0,49955522.0
tt0292644,0.0,0.0,0.0,14050959.9568,0.0,0.0,0.0,0.0,11806191.2189,16245813.5654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114086667.0
tt0389557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23110732.7836,0.0,0.0,17918772.5429,0.0,0.0,0.0,0.0,0.0,0.0,141198319.0
tt0830515,264901514.249,280236644.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9189778.0
tt1067106,0.0,0.0,170335493.003,0.0,0.0,0.0,0.0,0.0,170320959.871,0.0,0.0,0.0,123918332.083,0.0,0.0,0.0,0.0,0.0,220420527.0
tt0468569,572634672.306,0.0,0.0,0.0,571225791.417,0.0,0.0,0.0,566840020.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3308786.0
tt0167456,20146094.6036,35868552.7464,0.0,28890377.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57961641.0
tt0210567,0.0,0.0,0.0,20224816.6943,0.0,0.0,0.0,0.0,21260831.2766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31309147.0
tt0322589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59115064.8195,63730023.5955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56910747.8997,11567975.0
tt0468565,0.0,0.0,0.0,0.0,10483007.2654,0.0,0.0,0.0,12995478.9812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200363817.0
tt2357291,0.0,128212051.794,145760842.825,145010127.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27698311.0
tt1840417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4554176.99916,10562785.7126,0.0,0.0,0.0,0.0,0.0,8576924.94985,0.0,0.0,60465960.0
tt0168786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18152570.0625,19585270.9149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18080242.0
tt0383222,15423599.6319,28846028.6361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19470966.1507,0.0,0.0,0.0,0.0,40235641.0
tt0990407,113193986.569,0.0,0.0,137410503.168,120696835.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23899137.0
tt1054606,0.0,36137577.7142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27730678.6109,0.0,20425829.4361,0.0,0.0,144404381.0
tt0381849,0.0,64431607.7763,0.0,0.0,57697387.8611,0.0,0.0,0.0,65253935.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109468243.0
tt0432348,0.0,0.0,0.0,0.0,0.0,100903658.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115048906.766,0.0,0.0,43965191.0
tt0349467,0.0,0.0,0.0,0.0,29747609.7861,0.0,0.0,0.0,36240643.1577,0.0,0.0,0.0,0.0,0.0,0.0,28885030.0662,0.0,0.0,124521526.0
tt3268668,0.0,0.0,0.0,0.0,8170840.42176,0.0,0.0,0.0,9124839.65808,0.0,0.0,10146697.9128,0.0,0.0,0.0,0.0,0.0,0.0,112972245.0
tt0465494,45965071.2617,0.0,0.0,0.0,47009218.821,0.0,0.0,0.0,47537366.9824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186406933.0
tt0250494,0.0,0.0,0.0,99666488.6159,0.0,0.0,0.0,0.0,0.0,92650254.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35473981.0
tt0492956,0.0,0.0,0.0,88171101.8078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97045897.5443,0.0,0.0,0.0,89757852.23,0.0,5132074.0
tt2168910,0.0,0.0,0.0,16054867.4774,0.0,0.0,0.0,0.0,15811374.0912,17902784.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25605103.0
tt0163025,236356606.439,240889881.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221480608.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34203756.0
tt1430132,168613908.156,174541134.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162685377.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28279675.0
tt0252444,0.0,26290176.8289,0.0,0.0,0.0,0.0,0.0,14787382.1647,15102393.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22304.0
tt0398286,0.0,214445040.406,253103391.366,234541995.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128358628.0
tt1341188,0.0,0.0,0.0,53729498.8668,0.0,0.0,0.0,0.0,68359138.383,58906980.2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59961111.0
tt0243133,0.0,0.0,0.0,0.0,19016968.2823,0.0,0.0,0.0,26348920.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322718696.0
tt1527186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15062319.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10270287.0
tt0455612,0.0,0.0,0.0,126392101.577,0.0,0.0,0.0,0.0,101433770.636,115575973.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293409209.0
tt0277371,0.0,0.0,0.0,61742642.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12879334.0
tt0261392,0.0,0.0,0.0,53234325.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27403611.0
tt2381249,173963538.328,182820166.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174712416.566,0.0,0.0,0.0,0.0,0.0,0.0,41010977.0
tt1213663,30214139.4397,0.0,0.0,35549016.5219,0.0,0.0,0.0,0.0,0.0,0.0,22416055.2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6126224.0
tt0276751,0.0,0.0,0.0,55841348.8311,0.0,0.0,0.0,0.0,53733409.7217,55057606.5941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20958317.0
tt2193215,0.0,0.0,0.0,0.0,18012980.7139,0.0,0.0,0.0,19508405.0431,0.0,0.0,19989381.9293,0.0,0.0,0.0,0.0,0.0,0.0,6934288.0
tt1666186,0.0,0.0,0.0,34743946.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9068727.0
tt1270262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17667365.8925,19053920.3181,0.0,0.0,15661652.4689,0.0,0.0,0.0,0.0,0.0,0.0,23729501.0
tt0452702,0.0,0.0,0.0,0.0,0.0,21734315.0352,0.0,0.0,0.0,0.0,0.0,25836859.5942,0.0,0.0,0.0,0.0,0.0,0.0,147605331.0
tt1282140,0.0,0.0,0.0,54297282.4155,0.0,0.0,0.0,0.0,0.0,51973305.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175056996.0
tt0938283,181482715.051,193541183.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194336366.299,0.0,0.0,0.0,0.0,0.0,1619019.0
tt1067583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54110573.7684,58779931.8656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50813472.0
tt0409847,129309704.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117828706.682,136151689.821,0.0,0.0,0.0,0.0,0.0,0.0,82306197.0
tt0993842,36776642.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39844925.6627,0.0,0.0,38599480.5449,0.0,0.0,0.0,0.0,0.0,0.0,80726096.0
tt0993846,0.0,0.0,0.0,83222097.3251,71919646.9905,0.0,0.0,92674471.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96140333.0
tt1253863,144253715.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158191983.485,0.0,0.0,0.0,0.0,150280559.836,0.0,0.0,0.0,0.0,13053068.0
tt1646971,158056885.107,167094529.772,191954307.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15908335.0
tt3322364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33932126.7172,31539994.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36261128.1257,0.0,30626058.0
tt0810784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15343143.2411,15627664.4098,17364816.8537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7728262.0
tt0361696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18081126.4907,0.0,0.0,29480550.4336,0.0,0.0,0.0,0.0,15930478.9409,14834047.0
tt0200530,0.0,0.0,0.0,12642738.9424,0.0,0.0,0.0,0.0,11486163.5332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166221118.0
tt0246989,0.0,0.0,0.0,26808861.5356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51138074.0
tt0448694,113729480.645,125267983.822,142545057.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160873675.0
tt0499554,0.0,0.0,0.0,35238485.9419,30611741.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13160968.0
tt1438254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45149075.5085,47694486.7385,0.0,0.0,0.0,39615266.84,0.0,0.0,0.0,0.0,7916249.0
tt0499556,35200654.059,0.0,0.0,0.0,36298107.1237,0.0,0.0,0.0,0.0,0.0,0.0,36921910.0214,0.0,0.0,0.0,0.0,0.0,0.0,48765106.0
tt1591479,13331598.8199,27245447.652,0.0,0.0,0.0,0.0,0.0,0.0,16513558.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84370862.0
tt1499658,0.0,0.0,0.0,98157835.5032,86121786.1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92818931.0
tt2268016,0.0,0.0,0.0,26880988.5255,0.0,0.0,0.0,0.0,21279223.1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22510195.9024,14124964.0
tt0271219,0.0,0.0,0.0,12637486.0913,0.0,0.0,0.0,0.0,11453643.6499,14405681.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13159281.0
tt0480242,0.0,0.0,0.0,69434251.2713,0.0,0.0,0.0,0.0,63571296.3695,66039082.9835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143704768.0
tt0482599,0.0,0.0,0.0,0.0,0.0,24855500.8734,0.0,0.0,0.0,0.0,0.0,29374335.0309,0.0,0.0,0.0,30659565.575,0.0,0.0,154253236.0
tt0947802,0.0,0.0,0.0,0.0,50543178.4858,0.0,0.0,0.0,49926809.7565,0.0,0.0,50037106.456,0.0,0.0,0.0,0.0,0.0,0.0,44537412.0
tt0243736,0.0,0.0,0.0,60126127.5257,0.0,0.0,0.0,0.0,0.0,58108175.1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6969772.0
tt0444682,0.0,0.0,0.0,0.0,0.0,55598145.1106,0.0,0.0,0.0,0.0,0.0,57120698.4274,0.0,0.0,0.0,0.0,0.0,0.0,29151322.0
tt0480249,0.0,0.0,0.0,0.0,0.0,269429409.728,0.0,0.0,317777127.138,0.0,278516138.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100961618.0
tt0141907,0.0,0.0,0.0,46017420.499,0.0,0.0,0.0,0.0,0.0,53017496.8979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112706237.0
tt0177971,216990708.755,233789474.901,0.0,0.0,0.0,0.0,0.0,0.0,252503055.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4983287.0
tt0446013,19871236.5837,29617241.9077,0.0,0.0,0.0,0.0,0.0,0.0,23598593.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15078111.0
tt1448755,24458302.4881,0.0,0.0,0.0,26334613.3898,0.0,0.0,0.0,0.0,0.0,0.0,27910628.681,0.0,0.0,0.0,0.0,0.0,0.0,37630250.0
tt1637688,33125797.4928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35550044.549,36372048.2194,0.0,0.0,0.0,0.0,0.0,0.0,35163761.0
tt0228333,19719757.9452,0.0,0.0,0.0,0.0,20050231.991,0.0,0.0,0.0,0.0,14075721.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90609816.0
tt0428038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11766847.3141,14560619.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41828156.0
tt0482606,0.0,0.0,0.0,0.0,0.0,60715736.0568,0.0,0.0,0.0,0.0,0.0,66195570.3773,0.0,0.0,0.0,69353154.1716,0.0,0.0,14582935.0
tt0328107,97775373.425,0.0,0.0,0.0,102877128.11,0.0,0.0,0.0,111702749.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144183544.0
tt0482603,0.0,34262759.1263,36048044.8347,31392711.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16945056.0
tt1210042,0.0,0.0,0.0,0.0,44946238.4904,0.0,0.0,0.0,44254154.2894,0.0,0.0,44658780.1328,0.0,0.0,0.0,0.0,0.0,0.0,58311870.0
tt0245429,0.0,33419588.4532,40048318.2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35538650.1163,0.0,0.0,0.0,0.0,0.0,70686007.0
tt1178663,0.0,0.0,0.0,17791687.6755,0.0,0.0,0.0,0.0,0.0,19885080.4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8898316.0
tt0283530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27450529.1869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211914.0
tt0369226,0.0,0.0,0.0,0.0,0.0,10643050.4895,0.0,0.0,0.0,0.0,7751014.08714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188441168.0
tt0996382,0.0,25622990.5153,0.0,0.0,0.0,0.0,18243772.6421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154004643.0
tt0325703,101263973.599,115136101.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116334688.335,0.0,0.0,0.0,0.0,132341189.0
tt0230600,0.0,0.0,0.0,0.0,0.0,58866404.3017,0.0,0.0,0.0,0.0,0.0,63944787.4313,0.0,60862740.4683,0.0,0.0,0.0,0.0,8530218.0
tt2390361,0.0,0.0,0.0,15218282.9926,0.0,0.0,0.0,0.0,15254810.6867,17106475.3011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464305172.0
tt0269499,0.0,0.0,0.0,14511875.1751,0.0,0.0,0.0,0.0,14523918.8235,16481402.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64467571.0
tt0402399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24171756.8706,28347769.5778,0.0,0.0,0.0,0.0,0.0,27017996.9406,0.0,0.0,0.0,57330450.0
tt1723811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14985573.4291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752776.0
